BIBLIOGRAFÍA;AUTOR;CORDEMÁFORO;TÍTULO;FECHA;TEMA;PAÍS;CONCORDANCIA;Válido;Reflexivo;Complemento_de;Aspecto_verbal;Sujeto;Perífrasis;Observaciones
1330-1343 [s. XV (c1415)] RUIZ, JUAN (ARCIPRESTE DE HITA), Libro de buen amor [España] [Alberto Blecua, Madrid, Cátedra, 1992] Verso;RUIZ, JUAN (ARCIPRESTE DE HITA);R;Libro de buen amor;1330-1343[s. XV (c1415)] ;Verso;España;", mudan su entendimiento; quando es fecho el daño, viene el arrepentimiento: çiega la muger seguida, non tiene seso nin tiento.  Muger e liebre seguida, mucho corrida, conquista, pierde el entendimiento, çiega e pierde la vista: non vee redes nin lazos, en los ojos tiene arista; andan por escarneçerla, coida que es amada e quista.   Otorgóle Doña Endrina de ir con ella folgar, a tomar de la su fruta e a la pella jugar: «Señora», dixo la vieja, «cras avremos buen vagar, yo me verné para vós, quando viere que ay logar.»  Vínome Trotaconventos alegre con";transitivo;;;;;;
c1370 [s. XV] ANÓNIMO, Tratado de la Comunidad (Biblioteca de El Escorial MS. &-II-8) [España] [Frank Anthony Ramírez, Londres, Tamesis Books, 1988] Educación;ANÓNIMO;V;Tratado de la Comunidad (Biblioteca de El Escorial MS. &-II-8);c1370[s. XV] ;Educación;España;E por el contrario, todo p rínçipe o rey se deve de guardar de reçebir consejo de omne malo, del qual el consejo es desear las cosas presentes e desamar las eternales, e fazer las injustas e escarneçer de las justas, que om ne injusto conseja las cosas injustas. Así mesmo non deve ser demandado consejo a los enbidiosos, que ninguno non puede ser al prínçipe más leal consejero que aquél que lo ama.;si;no;si;infinitivo;animado;;
c1378-1406 [mediados del s. XV] LÓPEZ DE AYALA, PERO, Rimado de Palacio [España] [Germán Orduna, Madrid, Castalia, 1987] Verso;LÓPEZ DE AYALA, PERO;A;Rimado de Palacio;c1378-1406[mediados del s. XV] ;Verso;España;"domingo caminos començé; mis omnes e mis bestias muy mal los trabajé; con aues e con canes aquel día caçé; de fazer obras santas poco me enpaché.   De oír dezir las oras non tomé deuoçión en la tu casa santa, nin la tu predicaçión; en vanos pensamientos, puse mi coraçón; mentir, escarnesçer, era mi entinçión.  Onrrar a nuestros padres en el quarto contiene; el que así lo faze, tu graçia le mantiene; las onrras deste mundo e todo bien le viene; si ventura auemos, pasarlo non conuiene.  Çierto, Señor, pequé en él por mi ventura; ca nunca los onrré,";si;no;no;infinitivo;;;
c1378-1406 [mediados del s. XV] LÓPEZ DE AYALA, PERO, Rimado de Palacio [España] [Germán Orduna, Madrid, Castalia, 1987] Verso;LÓPEZ DE AYALA, PERO;A;Rimado de Palacio;c1378-1406[mediados del s. XV] ;Verso;España;"nin nunca ouo el dueño de mí la su valía.   El ochauo defiende: non serás mal testigo por amor nin por pauor, amigo nin enemigo; nunca por el tu dicho otro pierda su abrigo; aurá buena ventura, quien fiziere el castigo. *  Nunca te pagues mucho de querer profaçar, * nin de escarnesçer nin de falso burlar; ca esto non es ál si non mal enfamar al próximo inoçente, por le muy más dañar. *  De biuos e de muertos, Señor, yo profaçé; afirmé muchas vezes las cosas que non sé; enfamé al mi christiano e su fama dañé, por que, Señor, te";si;no;no;infinitivo;;;
c1378-1406 [mediados del s. XV] LÓPEZ DE AYALA, PERO, Rimado de Palacio [España] [Germán Orduna, Madrid, Castalia, 1987] Verso;LÓPEZ DE AYALA, PERO;A;Rimado de Palacio;c1378-1406[mediados del s. XV] ;Verso;España;"* si el pueblo non ouiera por él mucho rrogado.  Señor, e ¿que será de mí muy pecador, que en éste e en los otros, yago en grant error; ca sienpre fui e só muy mal ayunador, e con los pobres tuyos, escaso partidor?  Ira es un pecado que a muchos escarnesçe; pierden por ello el alma e el cuerpo padesçe; al que la ha usada, nunca le ella fallesçe, con mala compañía, qual él della meresçe.  Esta trae discordias e guerras toda vía, * e toda malquerençia e toda rrobería; ésta quema los rregnos e destruye en un día, lo";transitivo;;;;;;
c1378-1406 [mediados del s. XV] LÓPEZ DE AYALA, PERO, Rimado de Palacio [España] [Germán Orduna, Madrid, Castalia, 1987] Verso;LÓPEZ DE AYALA, PERO;A;Rimado de Palacio;c1378-1406[mediados del s. XV] ;Verso;España;"más está de cuidados partido tanto más sosegado está el su gemido.  Si por su culpa fuere alguno profaçado, non ha mérito ninguno por ser así blasfamado; * ca su meresçimiento lo traxo a tal estado que d'él rríen los omnes e anda así cuitado.   Mas si el omne justo, benigno e paçiente fuese escarnesçido de alguna mala gente, la su buena sinpleza lo guarda inoçente, que non sea ensuziado, nin mal ninguno siente.  Falsa sabiduría deste mundo captiuo abre el coraçón con pensamiento esquiuo, a maginar en males en quanto fuere biuo, menospresçia los buenos e presçia al algariuo.  La buena sapiençia e del justo";transitivo;;;;;;
c1378-1406 [mediados del s. XV] LÓPEZ DE AYALA, PERO, Rimado de Palacio [España] [Germán Orduna, Madrid, Castalia, 1987] Verso;LÓPEZ DE AYALA, PERO;A;Rimado de Palacio;c1378-1406[mediados del s. XV] ;Verso;España;": si consolando querédesme fablar, non tomedes mi bando"".  Querelláuase Job que quando él fablaua, * qualquier' de sus amigos muy poco le escuchaua; pues así en vano él solo trabajaua, mejor le era callar, e el silençio loaua.  ""Amigos —dixo Job—, deuíades auer vergüença de penarme e tanto escarnesçer; ca si yo non alcanço por qué fui padesçer, esta tal inorançia comigo ha de ser.  Mas segunt me paresçe, otra es vuestra entinçión, pues que tan orgullosa sale vuestra rrazón, que Dios a mí firio por mi justa ocasión, e si ello así es, a El pido perdón.   Y El por la";si;no;no;infinitivo;;;
c1378-1406 [mediados del s. XV] LÓPEZ DE AYALA, PERO, Rimado de Palacio [España] [Germán Orduna, Madrid, Castalia, 1987] Verso;LÓPEZ DE AYALA, PERO;;Rimado de Palacio;c1378-1406[mediados del s. XV] ;Verso;España;", venino e graçioso, e ser, con tales obras, de todos poderoso.   E por muy breue tienpo qu'el omne ha de durar pasando estas blanduras, de otro bien non curar; mas a lo venidero, su alma tristura sentirá, dura e lazdrada sin mesura avrá.  Dezía después Job: ""Sienpre escarnesçida la sinpleza del justo e la su buena vida, de malos enbidiosos, del todo aborrida, de todos, con engaños, muy mucho perseguida.""  Falsa sabiduría deste mundo engañoso * es el omne tener su coraçón cabteloso, e con palabras falsas; ser muy articuloso: tal vida commo ésta ama el vanaglorioso";no;;;;;;
c1378-1406 [mediados del s. XV] LÓPEZ DE AYALA, PERO, Rimado de Palacio [España] [Germán Orduna, Madrid, Castalia, 1987] Verso;LÓPEZ DE AYALA, PERO;A;Rimado de Palacio;c1378-1406[mediados del s. XV] ;Verso;España;", e de todo mal entero.  Después dezía Job: ""Sobre mí ellos abrieron las sus bocas denostando e mi maxilla firieron, e fartados de mis penas estonce estudieron ya quedos e pensando que por muerto me touieron"".   Los malos abren sus bocas quando denostando, sin miedo de predicar, a todos manzillando, escarnesçen la Iglesia en lo que van sermonando; en aquesto el su tiempo pasan mal conpasando.  Ca los malos han sienpre en sí tal condiçión de perseguir a los buenos, e la tal predicaçión entienden que aprouecha, e por ende ellos non folgarían si non prouasen poner ý su ocasión.  Maxilla de Santa Iglesia entiendo agora aquí";transitivo;;;;;;
1379-a1425 [s. XV (c1465)] VILLASANDINO, ALFONSO DE, «Poesías»(Cancionero de Baena) [España] [Madrid, Visor, 1993] Verso;VILLASANDINO, ALFONSO DE;R;Poesías(Cancionero de Baena);1379-a1425[s. XV (c1465)] ;Verso;España;", * mas tu vil trobar desecho, quando bien pienso en mi lecho,  con los malsines * de ""apoño."" *   4 A jugar el estornija * algo podrías saber, mas en armas contender nunca copo * en tu vasija; ganar pu edes * la sortija * si se gana por peer o mentir o escarneçer: tan vil sombra te cobija. *  5 Las tus suzias opiñones son de torpe gusarapo, que yo çierto es que entrapo * con los años a montones; mas, bien quitos * de baldones, de los nobles esto arrapo, * e por ti, suzio gazapo, non rindo * tres cagajones.  6 Loco";si;no;no;infinitivo;;;
1379-a1425 [s. XV (c1465)] VILLASANDINO, ALFONSO DE, «Poesías»(Cancionero de Baena) [España] [Madrid, Visor, 1993] Verso;VILLASANDINO, ALFONSO DE;R;Poesías(Cancionero de Baena);1379-a1425[s. XV (c1465)] ;Verso;España;Álvaro, señor gentil, gozadvos con tal abril como Dios nos ha embiado, e tomat mucha alegría, que, segunt la entençión mía,  la Santa Virgen María curará * de vuestro estado muy privado. *  2 Leal, cuerdo e mesurado, pues amparades çien mil, amparad a mí, un sotil cavallero afortunado, porque quien escarneçía de mí porque a vos vernía * sienta la grant mejoría que por vos, noble esforçado, he cobrado.  3 Yo vine mal apostado * con este negro mandil que es un vistuario vil, ya lo vedes ¡mal pecado!  Por ende, por cortesía, onrat la cavallería, pues yo siempre e todavía vuestro quiero;si;no;de;imperfectivo;animado;;
1379-a1425 [s. XV (c1465)] VILLASANDINO, ALFONSO DE, «Poesías»(Cancionero de Baena) [España] [Madrid, Visor, 1993] Verso;VILLASANDINO, ALFONSO DE;R;Poesías(Cancionero de Baena);1379-a1425[s. XV (c1465)] ;Verso;España;"1 A quien * deven responder las Españas veo en Roa; * amo mucho a quien lo loa e lo ama obedesçer, pero para despender * ya vendí una mendoa, * por mi ventura gastoa; * ¿qué me lo fizo fazer?  2 Muchos veo escarneçer de mí porque soy venido mal calçado e mal vestido,  alto Rey, a vos ver, que * me quiera retraer * e * tornar para mi nido; el trabajo que he savido * quiçá se podrié perder.  3 Que * me quiera detener, señor, ya non tengo prenda que empeñe nin que venda";si;no;de;infinitivo;animado;semicausativo;
c1400 [principios del s. XV] LÓPEZ DE AYALA, PERO, Traducción de las Décadas de Tito Livio [España] [Curt J. Wittlin, Barcelona, Puvill, 1982] Historia;LÓPEZ DE AYALA, PERO;V_manual;Traducción de las Décadas de Tito Livio;c1400[principios del s. XV] ;Historia;España;"tú llamar los padres a la corte muy avivadamente, e estar tú asentado en mi siella?"" E el dicho Tarquinio le respondió que él tenía la siella de su padre, e que ello era más razonable cosa qu'el fijo del rey fuese más heredero del regno que el siervo; e asy luengamente escarnecía Tarquino d'él e de los señores que con él estavan. Grandes apellidos se levantaron de los bandos del uno e del otro, e el pueblo corría de todas partes a la corte; e parescía qu'el pueblo quería que aquél que venciese regnase. Estonce Tarquino, veyendo que le era necesario de tornar";si;no;de;imperfectivo;animado;;
c1400 [principios del s. XV] LÓPEZ DE AYALA, PERO, Traducción de las Décadas de Tito Livio [España] [Curt J. Wittlin, Barcelona, Puvill, 1982] Historia;LÓPEZ DE AYALA, PERO;V_manual;Traducción de las Décadas de Tito Livio;c1400[principios del s. XV] ;Historia;España;"la cibdat d'Arecio, ovo fierarnente fablado contra Tarquino por quanto él non era venido con tienpo; e avya dicho que 'non sin razón le avyan dado en Roma este sobrenonbre Orgulloso', ca asy lo llamavan cumunalmente en Roma, mas que ésto era callando. E dixo él: ""¿Qué más orgullo puede ser que escarnecer asy de todo omne latino, e que los príncipes que moravan alexos sean venidos al consejo, e que él, que ordenó la jornada del consejo, non sea venido? Por verdat, dixo él, él anda atentando e ensayando nuestra paciencia, a fin que si nós recelamos d'él él nos pueda";si;no;de;infinitivo;animado;;
c1400 [principios del s. XV] LÓPEZ DE AYALA, PERO, Traducción de las Décadas de Tito Livio [España] [Curt J. Wittlin, Barcelona, Puvill, 1982] Historia;LÓPEZ DE AYALA, PERO;V_manual;Traducción de las Décadas de Tito Livio;c1400[principios del s. XV] ;Historia;España;"quien pertenescía estar en tienpo venidero árbitros e atenpradores del público consejo. E los padres non se osavan meter en la corte, nin aun en el mercado; e así, por razón de la absencia de los padres, el senado non pudo fazer ninguna cosa. 1Por la qual cosa parescía al pueblo que escarnecían d'él, e que non les fazían más sinón tener en palabras, e que los padres non se partirían de ally por espanto que ovieran sinón por enpachar el negocio; e que  los cónsules para esso se partieron dende con engaño, e que ellos veyan que las sus lazerías eran tornadas en escarneo.";si;no;de;imperfectivo;animado;;
c1400 [principios del s. XV] LÓPEZ DE AYALA, PERO, Traducción de las Décadas de Tito Livio [España] [Curt J. Wittlin, Barcelona, Puvill, 1982] Historia;LÓPEZ DE AYALA, PERO;V_manual;Traducción de las Décadas de Tito Livio;c1400[principios del s. XV] ;Historia;España;": e así luego el senado ordenó, e mandó fazer por todo pregones, que todos los volsques saliesen de la villa antes que fuesse la noche. De la qual cosa ellos fueron tribulados e mucho espantados, e corrió cada uno a su posada para tomar sus cosas. Mas quando ellos se yvan, comencáronles a escarnescer e fazer ensañar; e dezía el uno al otro, querellándose, que como ensuciados e descomulgados los avían echados e fechos salir de la villa de los juegos e de las fiestas e de las conpañas de los dioses e de los omes.";transitivo;;;;;;
c1400 [principios del s. XV] LÓPEZ DE AYALA, PERO, Traducción de las Décadas de Tito Livio [España] [Curt J. Wittlin, Barcelona, Puvill, 1982] Historia;LÓPEZ DE AYALA, PERO;V_manual;Traducción de las Décadas de Tito Livio;c1400[principios del s. XV] ;Historia;España;"salvos del debate e de las disensiones tribunales, asy fue que asaz onrra e fama fincase  luengamente en aquella familia e conpaña fabiana. Batalla e guerra se levantó con aquellos de Veye; e assí los volsques rebellaron como de cabo. Mas las fuerças romanas estavan más que menos abondantes a la batalla de fuera, antes escarnescían en contendiendo contra ello. 1E en aquel tienpo se ayuntaron a sus pensamientos malos del pueblo de Roma algunos signos e miraglos celestiales asi que cada día en la cibdat e en los canpos mostravan menazas. Sabet que los adevinos, consejados e avisados tanto por las aves como por los huessos e entrañas de las bestias";si;no;no;imperfectivo;;;
c1400 [principios del s. XV] LÓPEZ DE AYALA, PERO, Traducción de las Décadas de Tito Livio [España] [Curt J. Wittlin, Barcelona, Puvill, 1982] Historia;LÓPEZ DE AYALA, PERO;V_manual;Traducción de las Décadas de Tito Livio;c1400[principios del s. XV] ;Historia;España;los de fuera e las malquerencias de entr'ellos se conbatían en sus coraçones, ca ellos non querían nin punto el bien de los cónsules nin de los padres nin que ellos viniesen a buen acabamiento, e otrosy non querían que sus enemigos sin punición fincasen. A la fin los enemigos tan orgullosamente e tan sin acuerdo los escarnescían que las malquerencias de los enemigos de fuera sobrepujaron a las discordias de entre ellos: assí que vinieron arebatadamente en el consistorio de los cónsules, demandando la batalla e requeriendo que les diesen señal de batalla (segunt era costunbre). Los cónsules, así como si ellos quisiesen aun delibrar, començaron a fazer departimiento entre los capitanes de;transitivo;;;;;;
c1400 [principios del s. XV] LÓPEZ DE AYALA, PERO, Traducción de las Décadas de Tito Livio [España] [Curt J. Wittlin, Barcelona, Puvill, 1982] Historia;LÓPEZ DE AYALA, PERO;V_manual;Traducción de las Décadas de Tito Livio;c1400[principios del s. XV] ;Historia;España;"aquel coraçón non vencido en la malquerencia del pueblo se ensañase e se comoviesse. Por la qual cosa, él, veyendo que él non fiziesse cosa con los cavalleros e que toda aquella bravura e apercibimiento era por nada, comiençó a reprehender e dezir que su hueste estava corronpida por sus centuriones; e en los escarnesciendo algunas vezes los llamava tribunos plebeyos, e otra vez los llamava 'volerones' (por la malquerencia de Volleron que ante desto fuera tribuno).";transitivo;;;;;;
a1400 [s. XV] ANÓNIMO, Traducción del Soberano bien de San Isidoro [España] [Pablo A. Cavallero, Buenos Aires, Secrit, 1991] Religión;ANÓNIMO;R;Traducción del Soberano bien de San Isidoro;a1400[s. XV] ;Religión;España;"el alma es ante que sea nasçida en el cuerpo; mas que esto sea verdat no se prueua por ningunas muestras: ca que cosa antes nos ayamos seydo, ni nos seamos lo sabemos ni lo conosçemos, ni ningunt onbre puede dezir esto auemos; y asy no es de preguntar lo que en preguntandolo es de escarnesçer. Los gentiles y los ereges esforçaronse a disputar del alma, mas ¿como pudieron entender ellos byen y derechamente ninguna cosa del alma, los que no conosçieron a Dios criador y fazedor, a cuya ymagen el alma es fecha? E por ende muchas cosas dixeron de gran error. El alma mudable es no";si;no;no;infinitivo;;;
a1400 [s. XV] ANÓNIMO, Traducción del Soberano bien de San Isidoro [España] [Pablo A. Cavallero, Buenos Aires, Secrit, 1991] Religión;ANÓNIMO;;Traducción del Soberano bien de San Isidoro;a1400[s. XV] ;Religión;España;la pena del pecado nuestro, por que por la pena suya no deuida destruyese la pena nuestra deuida, e por ende perdiese el diablo a aquellos que tenia culpados. Ca en quanto mato a Aquel que no tenie ningun pecado, por ende perdio a aquellos que justamente tenia, ca ynjustamente al nuestro Rredemidor mato. El diablo escarneçido es en la muerte del Sennor asi como el aue, ca Christo mostro la mortalydat de su carne, la qual el diablo deseaua para matar, mas escondio la diuinidat asi como lazo que le pudiese engannar con sabyduria o maestria, asi como se enganna vn aue no se catando. Ca sy Christo no fuera muerto;no;;;;;;
a1400 [s. XV] ANÓNIMO, Traducción del Soberano bien de San Isidoro [España] [Pablo A. Cavallero, Buenos Aires, Secrit, 1991] Religión;ANÓNIMO;R;Traducción del Soberano bien de San Isidoro;a1400[s. XV] ;Religión;España;"en si sienten con grand afincamiento la finchen de buenas obras por que de dentro en ellos sean fallados puros e linpios. E por aquella manera de enganno son oy los onbres engannados que fueron nuestros padres en el comjenço del mundo, ca lo son amonestamjentos e falagos del diablo. En munchas e diuersas maneras el diablo escarnesçe con sus teptaçiones las voluntades de los onbres por los traer a pecar, a las vezes con grandes prometimjentos, agora con cosas pasaderas mostrando al onbre que le son neçesarias; agora mostrandole que las penas del ynfierno no son tan duras commo dizen, mas que son ligeras e  liujanas de sofrir, por que los coraçones de";transitivo;;;;;;
a1400 [s. XV] ANÓNIMO, Traducción del Soberano bien de San Isidoro [España] [Pablo A. Cavallero, Buenos Aires, Secrit, 1991] Religión;ANÓNIMO;R;Traducción del Soberano bien de San Isidoro;a1400[s. XV] ;Religión;España;en si pocos o njnguno pecados feos e no son culpados, o nunca o pocas vezes son atormentados destos espantos de noche, en suennos, antes con coraçon asosegado e con suenno folgado munchas vezes en los suennos veen e contenplan munchas poridades e secretos de Dios. Mas los que tienen ensuziados sus coraçones con graues pecados son escarneçidos con pauor de su conçiençia, e veen en suennos ymagines muy espantadizas, e la ymagen falsa, engannosa, escarnesçe las voluntades de los mesqujnos con diversas e desuariadas figuras, e aquellos que quando estauan despiertos troxo a consentir en el pecado, despues en suennos los quebranta e trabaja  en manera que nunca los dexa dormjr nj asosegar;transitivo;;;;;;
a1400 [s. XV] ANÓNIMO, Traducción del Soberano bien de San Isidoro [España] [Pablo A. Cavallero, Buenos Aires, Secrit, 1991] Religión;ANÓNIMO;R;Traducción del Soberano bien de San Isidoro;a1400[s. XV] ;Religión;España;espantos de noche, en suennos, antes con coraçon asosegado e con suenno folgado munchas vezes en los suennos veen e contenplan munchas poridades e secretos de Dios. Mas los que tienen ensuziados sus coraçones con graues pecados son escarneçidos con pauor de su conçiençia, e veen en suennos ymagines muy espantadizas, e la ymagen falsa, engannosa, escarnesçe las voluntades de los mesqujnos con diversas e desuariadas figuras, e aquellos que quando estauan despiertos troxo a consentir en el pecado, despues en suennos los quebranta e trabaja  en manera que nunca los dexa dormjr nj asosegar seguros. E avn algunas vezes los diablos se esfuerçan de espantar las voluntades de los sieruos de Dios con ymagines;transitivo;;;;;;
a1400 [s. XV] ANÓNIMO, Traducción del Soberano bien de San Isidoro [España] [Pablo A. Cavallero, Buenos Aires, Secrit, 1991] Religión;ANÓNIMO;R;Traducción del Soberano bien de San Isidoro;a1400[s. XV] ;Religión;España;pecado, despues en suennos los quebranta e trabaja  en manera que nunca los dexa dormjr nj asosegar seguros. E avn algunas vezes los diablos se esfuerçan de espantar las voluntades de los sieruos de Dios con ymagines aborresçederas en suennos, por que, pues que quando ellos velan non los pueden engannar, siqujera en suennos con tales falsas ymagines los puedan escarnesçer grauemente. Otrosi los sieruos de Dios e santos onbres maguera luego al punto sean movidos en el en suennos por tales visiones, enpero, luego que despiertan menospreçian tales vanjdades de escarnjos, e la su buena entinçion que tienen, aderesçanla a Dios. Otrosi munchas e diuersas son las maneras de los suennos: unas visiones de suennos ha;transitivo;;;;;;
a1400 [s. XV] ANÓNIMO, Traducción del Soberano bien de San Isidoro [España] [Pablo A. Cavallero, Buenos Aires, Secrit, 1991] Religión;ANÓNIMO;R;Traducción del Soberano bien de San Isidoro;a1400[s. XV] ;Religión;España;vezes onbre lo sabe. E por ende ligeramente no deue onbre poner fe en los suennos, por aventura aquel mal angel Sathanas, ponjendose en forma de buen angel de luz, enganne a aquel que no estudiere aperçebido e lo trastorne con alguna mala arte de enganno. E munchas vegadas los diablos con su arte engannosa asy escarnesçen a los que se fian en los suennos e paran mjentes en ellos, que de aquella manera que lo suennan viene e no de otra, por que con munchos tales engannen e parescan ser verdaderos. Mas maguera asy vengan, de menospreçiar son por aventura, que vienen de mal enganno e escarnjo. E acuerdense de lo;transitivo;;;;;;
a1400 [s. XV] ANÓNIMO, Traducción del Soberano bien de San Isidoro [España] [Pablo A. Cavallero, Buenos Aires, Secrit, 1991] Religión;ANÓNIMO;R;Traducción del Soberano bien de San Isidoro;a1400[s. XV] ;Religión;España;"suenno. E avn estando despiertos e folgando vemos en nos tales mjedos quando pensamos en tales cosas, pero despues, commo sean graues las cosas que con pecados fezjmos e commo sean duras las penas que por ellas tememos, en suennos munchas vezes lo ymaginamos. Otrosi non es pecado alguno quando contra nuestra voluntad ssomos engannados e escarnesçidos en suennos por algunas ymaginaçiones; mas entonçe es pecado si ante que seamos aquj engannados fuemos deleytados en las tales ymaginaçiones e en sus deseos. Ca munchas vezes algunas cosas que de la luxuria estando despiertos pensamos e ymaginamos e nos deleytamos en ello, vienen despues en suennos a la voluntad; mas en esto somos nos syn culpa";transitivo;;;;;;
a1400 [s. XV] ANÓNIMO, Traducción del Soberano bien de San Isidoro [España] [Pablo A. Cavallero, Buenos Aires, Secrit, 1991] Religión;ANÓNIMO;R;Traducción del Soberano bien de San Isidoro;a1400[s. XV] ;Religión;España;su hermano, que pues lo quiere e cobdiçia corregir, que lo amoneste con humjl coraçon, e esto faga con conpasion que ha d'el, asy commo de vn peligro en que el mesmo podria muy ayna caer. E asi commo los buenos onbres esperan corregir e emendar a su proxjmo, asy los malos se alegran escarnesçiendo a los que yerran, e quanto pueden  fazer fazen por no guaresçerlos, nj abaxan el su coraçon a auer mjsericordia njn conpasion, mas con soberuja los escarneçen e blasfeman d'ellos. Otrosi acaesçe algunas vegadas entre los amjgos que viene alguna discordia, la qual despues trae mayor amor e mayor caridad, esto es quando;transitivo;;;;;;
a1400 [s. XV] ANÓNIMO, Traducción del Soberano bien de San Isidoro [España] [Pablo A. Cavallero, Buenos Aires, Secrit, 1991] Religión;ANÓNIMO;R;Traducción del Soberano bien de San Isidoro;a1400[s. XV] ;Religión;España;vn peligro en que el mesmo podria muy ayna caer. E asi commo los buenos onbres esperan corregir e emendar a su proxjmo, asy los malos se alegran escarnesçiendo a los que yerran, e quanto pueden  fazer fazen por no guaresçerlos, nj abaxan el su coraçon a auer mjsericordia njn conpasion, mas con soberuja los escarneçen e blasfeman d'ellos. Otrosi acaesçe algunas vegadas entre los amjgos que viene alguna discordia, la qual despues trae mayor amor e mayor caridad, esto es quando algunos son rreprehendidos por algunos sus amjgos y luego no les plaze nj rresçiben el tal castigo de buena voluntad, enpero despues que son emendados plazeles e dan graçias a su;transitivo;;;;;;
a1400 [s. XV] ANÓNIMO, Traducción del Soberano bien de San Isidoro [España] [Pablo A. Cavallero, Buenos Aires, Secrit, 1991] Religión;ANÓNIMO;R;Traducción del Soberano bien de San Isidoro;a1400[s. XV] ;Religión;España;, espantanse e han grand confusion en si. E quando muestran todo su poder malo e contrario e con todo esto no pueden vençar ensannanse e toman en si malenconja. Ca los locos sienpre estudian commo puedan fazer mal a los buenos e, si los vençen, alabanse de sus fechos e toman gloria en ello e escarnesçen las tribulaçiones de los buenos e de los justos. E si no les viene commo desean conplir su mala voluntad luego comjençan a blasfemar de Dios e tornan en si con grand flaqueza de coraçon. Otrosi ay vnos sinples que no sabiendo la ordenança de Dios, quando veen a los malos que les va bien en este;transitivo;;;;;;
c1400 [s. XV] ANÓNIMO, Barlaam e Josafat (manuscrito S) [España] [J.E. Keller/R.W.Linker, Madrid, Consejo Superior de Investigaciones Científicas, 1979] Novela;ANÓNIMO;R;Barlaam e Josafat (manuscrito S);c1400[s. XV] ;Novela;España;Pues asi es, el rrey deziendo muchas cosas vanas e escarnesçiendo las nuestras cosas, e esquivandolas e alabando los ydolos, veyendo el mançebo santo que non convernia tener el fecho en ascondido, mas ente en manifiesto e en alto, por que sea fecho manifiesto a todos, lleno de fiança e de firmeza, dixo: — Lo que contra mi es fecho, mi padre señor, nunca lo;transitivo;;;;;;
c1400 [s. XV] ANÓNIMO, Barlaam e Josafat (manuscrito S) [España] [J.E. Keller/R.W.Linker, Madrid, Consejo Superior de Investigaciones Científicas, 1979] Novela;ANÓNIMO;R;Barlaam e Josafat (manuscrito S);c1400[s. XV] ;Novela;España;E el rrey es maravillado e lleno de saña tanbien por el entendemiento e por las palabras del moço, a las quales non podia contradezir, commo de que non dexara el su fijo ninguna cosa que pertenesçiese al destruymiento de los sus dioses, mas toda la vida dellos aya denostado e escarnesçido. Enpero non entendio la claridat de la palabra por la vanidat de dentro de las tiniebras, e non pudo atormentarlo o fazerle algund mal por el amor natural. E levantandose con saña, fuese e dixo: — ¡O nunca fueses nasçido nin ovieses venido en luz para aver seer tal blesflamador de los dioses e menospreçiador;si;no;si;perfectivo;animado;;
c1400 [s. XV] ANÓNIMO, Barlaam e Josafat (manuscrito S) [España] [J.E. Keller/R.W.Linker, Madrid, Consejo Superior de Investigaciones Científicas, 1979] Novela;ANÓNIMO;R;Barlaam e Josafat (manuscrito S);c1400[s. XV] ;Novela;España;la moger, llorando la mengua de la su alma, somitiendo a sy mismo, luego se torno a la oraçion, e derramando lagrimas largamente de los ojos, llamava a Dios el Qual faze salvos los esperantes en Sy, e dezía: — En ti, Señor, he esperança non sea confondido para sienpre nin me escarnezcan los mis enemigos.;transitivo;;;;;;
c1400 [s. XV] ANÓNIMO, Barlaam e Josafat (manuscrito S) [España] [J.E. Keller/R.W.Linker, Madrid, Consejo Superior de Investigaciones Científicas, 1979] Novela;ANÓNIMO;R;Barlaam e Josafat (manuscrito S);c1400[s. XV] ;Novela;España;El qual dixo a Theoda: — Oyme, fondeza de error e fedor de las tiniebras palpables, simiente de Babilonia, e viejo muy mesquino e fablante vanas cosas. ¿Por que te esfuerças a escarnesçer la predicaçion de salut, por la qual los herradores fallaron carrera, por la qual perdidos e mal cautivados rrevocados son? Dime, ¿qual es mejor cosa, servir al Señor poderoso de toda cosa con Su Fijo unigenito e Spiritu Santo, Dios non criado e non mortal, comienço e fuente de los bienes;transitivo;;;;;;
c1400 [s. XV] ANÓNIMO, Barlaam e Josafat (manuscrito S) [España] [J.E. Keller/R.W.Linker, Madrid, Consejo Superior de Investigaciones Científicas, 1979] Novela;ANÓNIMO;R;Barlaam e Josafat (manuscrito S);c1400[s. XV] ;Novela;España;", e faziendo arremenbrança de la mi humillat. Ca temo que la muchedunbre obscura de los demonios enbarge a la mi alma por la muchedunbre de los mis non saberes. E tu, fijo, non temas el trabajo de la conversaçion nin temas la lungura del tienpo e las arterias de los demonios; mas tu escarnesçe osadamente la enfermedat destos, armado de la virtud de Jesu Cristo. E contra la dureza de los trabajos e el espaçio del tienpo asy seras, commo sy cada dia esperases la muerte, e asy commo sy este dia fuese comienço e fin de la conversaçion.";transitivo;;;;;;
