BIBLIOGRAFÍA;AUTOR;TÍTULO;FECHA;TEMA;PAÍS;CONCORDANCIA;Válido;Reflexivo;Complemento_de;Aspecto_verbal;Sujeto;Perífrasis;Observaciones
1569 TORQUEMADA, ANTONIO DE, Jardín de flores curiosas [España] [Lina Rodríguez Cacho, Madrid, Turner, 1994] Literatura;TORQUEMADA, ANTONIO DE;Jardín de flores curiosas;1569;Literatura;España;"Bernardo No es pequeña merced éssa para quien tanto la dessea. Y si soys servido, lo mejor será sentarnos, para que más de espacio podamos recebirla debaxo de esta sombra, para que el sol no nos toque; y aquí podremos oýr el regozijado sonido que la agua desliziándose con su corriente tan claro como un crystal por las blancas arenas y piçarras haze ayudada del sordo sonido de las hojas de los árboles, meneadas con el delicado y sabroso viento, causando un regozijo y alegría para los que lo estuvieren oyendo.";no;;;;;;
1569 TORQUEMADA, ANTONIO DE, Jardín de flores curiosas [España] [Lina Rodríguez Cacho, Madrid, Turner, 1994] Literatura;TORQUEMADA, ANTONIO DE;Jardín de flores curiosas;1569;Literatura;España;llegava a la ribera, tomando de las manos las cosas que le davan para comer, como si fuera algún animal doméstico, y los mochachos tenían con él muy gran passatiempo y regozijo. Porque muchos días, llevándole que comiesse, se ponían encima, y este pescado los traýa por todo el lago, holgándose y regocijándose con ellos, y después los bolvía a la ribera, sin que jamás hiziesse daño a ninguno ni se metiesse debaxo de la agua. Y yendo unos españoles a ver esta maravilla, uno dellos le arrojó  una lança con que le hirió, y de allí adelante conocía a los españoles en la manera de los vestidos;si;si;no;imperfectivo;animado;;
1569-1573 HURTADO DE MENDOZA, DIEGO, De la guerra de Granada [España] [Manuel Gómez Moreno, Madrid, Real Academia de la Historia, 1948] Historia;HURTADO DE MENDOZA, DIEGO;De la guerra de Granada;1569-1573;Historia;España;"No hallaron en Válor el alto rastro de Abenhumeya, pero en el bajo oyeron chaquidos de ballestas, música, canto y regocijo de tanta gente que, no la osando acometer, se bolvieron a dar aviso. Enbió dos capitanes, Antonio de Avila y Alvaro Flores, con trecientos arcabuceros escogidos entre la gente que á la saçon quedava, que era poca; porque con las ganancias de las Guájaras y con tener por acabada la guerra, avían ido a sus casas:";no;;;;;;
1574 SANTA CRUZ DE DUEÑAS, MELCHOR DE, Floresta española [España] [Maxime Chevalier, Barcelona, Crítica, 1997] Relatos;SANTA CRUZ DE DUEÑAS, MELCHOR DE;Floresta española;1574;Relatos;España;Dijo el duque muy regocijado:;no;;;;;;
c1579-a1613 ARGENSOLA, LUPERCIO LEONARDO DE, Rimas [España] [José Manuel Blecua, Zaragoza, CSIC, 1950] Verso;ARGENSOLA, LUPERCIO LEONARDO DE;Rimas;c1579-a1613;Verso;España;") hallan paz, cobran gracia, alcançan vida. Con guirnaldas de estrellas coronada, hermosas flores del jardín eterno, de tu divino fruto, Madre e Hija,  entre lirios que ignoran el ibierno tienes la siesta ya no congojada, pues no hay deseo ardiente que te aflija, hermosa luz que al cielo regocija. Ya no, como la tórtola gimiendo, suspiras tu divino amado ausente, a quien con voz doliente, enferma de su amor, poco ha diziendo ybas: ""De el cielo y tierra el más hermoso, ¿dónde estás? ¿Tú, la luz del mediodía? Suene tu dulce voz en mis";transitivo;;;;;;
1583 GRANADA, FRAY LUIS DE, Primera parte de la Introducción del Símbolo de la Fe [España] [Justo Cuervo, Madrid, Imprenta hija de Gómez Fuentenebro, 1908] Religión;GRANADA, FRAY LUIS DE;Primera parte de la Introducción del Símbolo de la Fe;1583;Religión;España;como amenazando á la muerte, acabó con una maldad y crueldad increíble. Porque mandó llamar todos los varones nobles y principales de todas las ciudades y villas de Judea, y encerrarlos en cierto lugar: y llamando á su hermana Salomé con su marido Alejandro, les dijo: Yo sé que los judíos se han de regocijar con mi muerte: pero si vosotros queréis cumplir mi mandamiento, yo tendré mi enterramiento y exequias muy honradas con muchedumbre de hombres y mujeres que lloren. Tened á punto gente armada por que en la hora que yo expiraré, maten todos estos varones principales de Judea que yo tengo encerrados, para que toda la provincia (aunque les;si;si;con;imperfectivo;animado;;Otros de con no los considero por ser de compañía
1583-a1591 LEÓN, FRAY LUIS DE, De los Nombres de Cristo [España] [Cristóbal Cuevas, Madrid, Cátedra, 1984] Religión;LEÓN, FRAY LUIS DE;De los Nombres de Cristo;1583-a1591;Religión;España;"; que lo que agora tienen, esso sacarán entonces a la clara en el cuerpo. Pues digo que éste es el mes primero del año, éste el mes con que todo se alegra; éste viste los desnudos árboles desatando la tierra, éste en todos los animales produze deleyte, y éste es el que regozija todas las cosas; pues éste, por la misma manera, es en la resurrectión su verdadero abril a los buenos, que les vestirá de gloria los cuerpos, de la luz que agora contienen en sí mismas sus almas, esto es, de la fuerça y poder del espíritu, el qual, entonces,";transitivo;;;;;;
1583-a1591 LEÓN, FRAY LUIS DE, De los Nombres de Cristo [España] [Cristóbal Cuevas, Madrid, Cátedra, 1984] Religión;LEÓN, FRAY LUIS DE;De los Nombres de Cristo;1583-a1591;Religión;España;"lo que es hombre casi no será sino Dios, que con su Christo reynará enseñoreando perfectamente de todos. De cuyo reyno, o de la felicidad desde su estado postrero, ¿qué podemos mejor dezir que lo que dize el Propheta? Di alabanças, hija de Sión; gózate con júbilo, Israel; alégrate y regocíjate de todo tu coraçón, hija de Hierusalem; que el Señor dio fin a tu castigo, aportó de ti su açote, retiró tus enemigos el Rey de Israel. El Señor en medio de ti, no temerás mal de aquí adelante.";si;si;no;imperfectivo;animado;;
1583-a1591 LEÓN, FRAY LUIS DE, De los Nombres de Cristo [España] [Cristóbal Cuevas, Madrid, Cátedra, 1984] Religión;LEÓN, FRAY LUIS DE;De los Nombres de Cristo;1583-a1591;Religión;España;"Y en otro lugar: Serán allí en olvido puestas las congoxas primeras, y en ellas se les asconderán de los ojos. Porque yo criaré nuevos cielos y nueva tierra, y los passados no serán remembrados ni subirán a las mientes. Porque yo criaré a Hierusalem regocijo, y alegría su pueblo, y me regocijaré yo en Hierusalem, y en mi pueblo me gozaré. Boz de lloro ni boz lamentable de llanto no será y allí más oýda, ni avrá más en ella niño en días ni anciano  que no cumpla sus años; porque el de cient años, moço perecerá,";no;;;;;;
1583-a1591 LEÓN, FRAY LUIS DE, De los Nombres de Cristo [España] [Cristóbal Cuevas, Madrid, Cátedra, 1984] Religión;LEÓN, FRAY LUIS DE;De los Nombres de Cristo;1583-a1591;Religión;España;"Y en otro lugar: Serán allí en olvido puestas las congoxas primeras, y en ellas se les asconderán de los ojos. Porque yo criaré nuevos cielos y nueva tierra, y los passados no serán remembrados ni subirán a las mientes. Porque yo criaré a Hierusalem regocijo, y alegría su pueblo, y me regocijaré yo en Hierusalem, y en mi pueblo me gozaré. Boz de lloro ni boz lamentable de llanto no será y allí más oýda, ni avrá más en ella niño en días ni anciano  que no cumpla sus años; porque el de cient años, moço perecerá, y el que de çien años peccador fuere,";si;si;no;imperfectivo;animado;;
1583-a1591 LEÓN, FRAY LUIS DE, De los Nombres de Cristo [España] [Cristóbal Cuevas, Madrid, Cátedra, 1984] Religión;LEÓN, FRAY LUIS DE;De los Nombres de Cristo;1583-a1591;Religión;España;", mas gozará de señalados provechos. Porque, como Dios enojado y enemigo es terrible, assí amigo y pacífico es liberal y dulcíssimo, amo se vee en lo que Esaías, en su persona dél, dize que hará con la congregación sancta de sus amigos y justos. Alegraos con Hierusalem, dize, y regozijaos con ella todos los que la queréys bien; gozaos, gozaos mucho con ella todos los que la llorávades, para que, a los pechos de su contento puestos, los gustéys y os hartéys, para que los exprimáys, y tengáys sobra de los deleytes de su perfecta gloria. Porque el Señor dize assí: Yo derribaré";si;si;no;imperfectivo;animado;;
1583-a1591 LEÓN, FRAY LUIS DE, De los Nombres de Cristo [España] [Cristóbal Cuevas, Madrid, Cátedra, 1984] Religión;LEÓN, FRAY LUIS DE;De los Nombres de Cristo;1583-a1591;Religión;España;ay, la principal es que, en esto que llamamos nascer, el spíritu de Christo se ayunta con la essencia del alma y comiença a executar su virtud en ella, abraçándose con ella sin que ella lo sienta ni entienda, y reposa allí como metido en el centro della, como dize Esaías: Regozíjate y alaba, hija de Sión, porque el Señor de Israel está en medio de ti. Y, reposando allí como desde el medio, derrama los rayos de su virtud por toda ella y la mueve secretamente, y con su movimiento dél y con la obediencia del alma a lo que es dél;si;si;no;imperfectivo;animado;;
1583-a1591 LEÓN, FRAY LUIS DE, De los Nombres de Cristo [España] [Cristóbal Cuevas, Madrid, Cátedra, 1984] Religión;LEÓN, FRAY LUIS DE;De los Nombres de Cristo;1583-a1591;Religión;España;"alma el espíritu, y assí haze en ella sin impedimento sus fructos, que son, como Sant Pablo dize, charidad y gozo y paz, y paciencia y larga espera en los males. Por donde, en persona de los de este grado, dize el propheta Esaías: Gozándome, gozaré en el Señor, y regozijaráse mi alma en el Dios mío; porque me vistió vestiduras de salud y me cercó con vestidura de justicia; como a esposo me hermoseó con corona, y como a esposa adornada con sus joyeles.";si;si;en;imperfectivo;animado;;alma = animado?
1583-a1591 LEÓN, FRAY LUIS DE, De los Nombres de Cristo [España] [Cristóbal Cuevas, Madrid, Cátedra, 1984] Religión;LEÓN, FRAY LUIS DE;De los Nombres de Cristo;1583-a1591;Religión;España;, abraçado con él y como infundido  por él, le alienta y le mueve, y le deleyta y le halaga, y le govierna las obras y es la vida de su feliz vida. Y de los que aquí llegaron dize propriamente Esaías: Alegráronse con tu presencia como la alegría en la siega, como se regozijaron al dividir del despojo. De la siega dize que es señalada alegría porque se coge en ella el fructo de lo trabajado, y se conosce que la confiança que se hizo del suelo no salió vazía, y se halla, como por la largueza de Dios, mejorado y acrescentado lo que parescía perdido. Y;si;si;no;perfectivo;animado;;
1583-a1591 LEÓN, FRAY LUIS DE, De los Nombres de Cristo [España] [Cristóbal Cuevas, Madrid, Cátedra, 1984] Religión;LEÓN, FRAY LUIS DE;De los Nombres de Cristo;1583-a1591;Religión;España;aparencia ni que toca solamente en la sobrehaz y en el cuero, sino bien secreto, y lançado en las venas, y metido y embevido en el alma, y bien, no que solamente pinta las hojas, sino que propria y principalmente mundifica la raýz y la fortifica. Por donde dezía bien el Propheta: Regozijate, hija de Sión, y derrama loores, porque el Sancto de Israel está en medio de ti. Esto es, no alderredor de ti, sino dentro de tus entrañas, en tus tuétanos mismos, en el meollo de tu coraçón, y verdaderamente de tu alma en el centro.;si;si;no;imperfectivo;animado;;
1585 PÉREZ DE MOYA, JUAN, Philosofía secreta de la gentilidad [España] [Carlos Clavería, Madrid, Cátedra, 1995] Mitología;PÉREZ DE MOYA, JUAN;Philosofía secreta de la gentilidad;1585;Mitología;España;"las flores, y que presidiese a ellas, y que tuviese cargo de que los árboles floreciesen bien, para que dello  procediesen frutos en abundancia, y que dedicada por deesa de estas cosas podía muy bien ser adorada por tal, y así quedó canonizada por deesa; y porque el pueblo recibiese bien esto constituyeron fiestas bien regocijadas y deshonestas, conforme a la torpedad de la deesa cuyas eran.";no;;;;;;
1587 MENA, FERNANDO DE, Traducción de la Historia etiópica de los amores de Teágenes y Cariclea de Heliodoro [España] [Francisco López Estrada, Madrid, Real Academia Española, 1954] Novela;MENA, FERNANDO DE;Traducción de la Historia etiópica de los amores de Teágenes y Cariclea de Heliodoro;1587;Novela;España;"Así se hizo, y poco después vino uno de parte de Nausicles a llamarlos para que fuesen presto al sacrificio. Y ellos, habiendo ya determinado entre sí lo que se había de hacer, iban alegres y regocijados, juntamente con Nausicles y otra gran muchedumbre de convidados, (porque había hecho ordenar el sacrificio público) también Cariclea, con la hija de Nausicles y otras mujeres, que con muchos consuelos y ruegos apenas la persuadieron para que fuese con ellas; y no sé si se hubiera dejado persuadir, sino le cayera en el";no;;;;;;
1587 MENA, FERNANDO DE, Traducción de la Historia etiópica de los amores de Teágenes y Cariclea de Heliodoro [España] [Francisco López Estrada, Madrid, Real Academia Española, 1954] Novela;MENA, FERNANDO DE;Traducción de la Historia etiópica de los amores de Teágenes y Cariclea de Heliodoro;1587;Novela;España;escuchaban, y que apañaban los bocados y perseveraban en el comer a la medida y proporción della, y que tenían también los vellocinos y vedijas de oro, no que el arte les hubiese añadido aquella gracia, sino que la viveza de la propria ametista enviaba aquel resplandor sobre sus espaldas. Estaban asimismo pintados los regocijados saltos y juegos de los tiernos corderos. Y algunos a manadas subían corriendo por la peña, y otros, con más atrevimiento se llegaban más cerca del pastor y le rodeaban, representando en aquella roca uno como teatro pastoral, y otros, a la luz de la mesma ametista como si fuera al sol andaban;no;;;;;;
1587 MENA, FERNANDO DE, Traducción de la Historia etiópica de los amores de Teágenes y Cariclea de Heliodoro [España] [Francisco López Estrada, Madrid, Real Academia Española, 1954] Novela;MENA, FERNANDO DE;Traducción de la Historia etiópica de los amores de Teágenes y Cariclea de Heliodoro;1587;Novela;España;se debe hacer, determiné de deciros primero mi voluntad, no que yo quiera que con vuestro voto me la confirméis, pues no me falta el poder (que me promete y obliga también la voluntad), sino porque me parece que es bien que va por el camino que debe, cuando con mayor consentimiento y regocijo la desposada se dispone para las bodas habiéndolas sabido primero de la boca de su padre. Yo alabé lo que me decía disimulando que me holgaba, y que daba muchas gracias a los dioses que habían señalado por marido de mi hija al que era su señor.  Y como me apartase dél un poco,;no;;;;;;
1587 MENA, FERNANDO DE, Traducción de la Historia etiópica de los amores de Teágenes y Cariclea de Heliodoro [España] [Francisco López Estrada, Madrid, Real Academia Española, 1954] Novela;MENA, FERNANDO DE;Traducción de la Historia etiópica de los amores de Teágenes y Cariclea de Heliodoro;1587;Novela;España;. Lo mesmo hizo de la otra parte Petosiris, y desta  manera fué llevado Calasiris con hachas encendidas hasta el templo de la diosa Isis, acompañándole con grande aplauso y muchas muestras de alegría, y tañendo asimismo muchas flautas y otros instrumentos sagrados, que incitaban y movían a danzar a los de edad robusta y regocijada. Y no se quiso Arsace quedar atrás sin ver lo que pasaba, antes haciendo con gran fausto ostentación de la mucha gente y del grande acompañamiento que llevaba consigo, los iba desde aparte siguiendo y entró en el templo de Isis con todos los de su corte, muy dorados y muy aderezados, mostrando que;no;;;;;;
1587 MENA, FERNANDO DE, Traducción de la Historia etiópica de los amores de Teágenes y Cariclea de Heliodoro [España] [Francisco López Estrada, Madrid, Real Academia Española, 1954] Novela;MENA, FERNANDO DE;Traducción de la Historia etiópica de los amores de Teágenes y Cariclea de Heliodoro;1587;Novela;España;"suyo en la presente adversidad, y si aflojaba algo y ablandaba con los tormentos. Mas él se mostraba entonces más hombre, y hacía mayor resistencia contra todas sus diligencias, y dejando afligir el cuerpo, fortalecía el corazón con la casta seguridad de su conciencia, gloriándose en aquel trabajo y en aquella fortuna, y regocijándose que, aunque la mayor parte fuese afligida y atormentada, a lo menos la principal y la más excelente recebía gracia y beneficio, demás de que se le ofrecía ocasión de declarar el amor que tenía a Cariclea; y estimaba por gran felicidad y contento que solamente ella entendiese lo que pasaba, llamándola de contino su luz, su";si;si;no;imperfectivo;animado;;Habría una preposición, pero no sale por la oración…
1587 MENA, FERNANDO DE, Traducción de la Historia etiópica de los amores de Teágenes y Cariclea de Heliodoro [España] [Francisco López Estrada, Madrid, Real Academia Española, 1954] Novela;MENA, FERNANDO DE;Traducción de la Historia etiópica de los amores de Teágenes y Cariclea de Heliodoro;1587;Novela;España;"y descarnados de los tormentos, se quedó admirado de ver su hermosura y buena disposición. Ellos, pensando que aquello era cierto lo que esperaban, y que Bagoas venía en aquella hora desusada de la noche para llevarlos a su postrer fin y muerte, fueron algún tanto turbados; mas luego, enderezándose con rostro alegre y regocijado, mostraban no dárseles nada de morir, antes eran dello muy contentos. Y como Eufrates se llegase y alargase las manos para quitar los maderos donde estaban asidas las cadenas, Teágenes comenzó a decir en alta voz:";no;;;;;;
1587 MENA, FERNANDO DE, Traducción de la Historia etiópica de los amores de Teágenes y Cariclea de Heliodoro [España] [Francisco López Estrada, Madrid, Real Academia Española, 1954] Novela;MENA, FERNANDO DE;Traducción de la Historia etiópica de los amores de Teágenes y Cariclea de Heliodoro;1587;Novela;España;mira, sin combatirla ni hacer otra cosa más de tenerla cercada y muy estrecha, cubriendo todos aquellos campos con infinitos millares de hombres, tiendas,  máquinas y diversas suertes de armas y muchos caballos y otros animales. Donde, hallándole los exploradores, le fueron a presentar los captivos, y él, no sólo se regocijó con la vista de los dos mozos, aficionándose desde luego a querellos, aunque no sabía que eran sus hijos, por una cierta adevinación y movimiento natural, mas también se alegró mucho tomando por buen agüero el ver que se los ofrecían atados.;si;si;con;perfectivo;animado;;
1587 MENA, FERNANDO DE, Traducción de la Historia etiópica de los amores de Teágenes y Cariclea de Heliodoro [España] [Francisco López Estrada, Madrid, Real Academia Española, 1954] Novela;MENA, FERNANDO DE;Traducción de la Historia etiópica de los amores de Teágenes y Cariclea de Heliodoro;1587;Novela;España;las iba aflojando y echándolas con menos fuerza, que se iba rindiendo y se daba por vencido. Mas Teágenes, ocupado solamente la siniestra mano en tenerle allí firme, levantó la derecha hacia el cielo, meneándola sin cesar con el puño cerrado. Y mirando a Hidaspes y a la demás muchedumbre con rostro alegre y regocijado, los provocaba con su risa a tomar contento, y con el bramido del toro en lugar de trompeta, a celebrar su victoria. Resonábase también por otra parte el clamor y vocería del pueblo, no que  se oyese alguna cosa clara y pronunciada, sino que por la mayor parte a boca abierta enviaban con solo el sonido de;no;;;;;;
1587 MENA, FERNANDO DE, Traducción de la Historia etiópica de los amores de Teágenes y Cariclea de Heliodoro [España] [Francisco López Estrada, Madrid, Real Academia Española, 1954] Novela;MENA, FERNANDO DE;Traducción de la Historia etiópica de los amores de Teágenes y Cariclea de Heliodoro;1587;Novela;España;otros instrumentos. Y después, subidos Hidaspes y Teágenes en un coche real que tiraban caballos, y Sisimitres y Caricles, en otro de por sí, y Persina y Cariclea, en otro que tiraban cuatro blanquísimos novillos, fueron acompañados hasta Méroe con muchas bendiciones y parabienes y grande aplauso de danzas y de bailes y de otros regocijados corros, para que las demás cosas pertenecientes a las bodas, así secretas como públicas, se celebrasen en la ciudad con mayor solemnidad y fiesta. * Este fin vino a tener la Historia Etiópica de Teágenes y Cariclea, que compuso un hombre feniciano, de la ciudad de Emesa, del linaje del Sol,;no;;;;;;
1588 MALÓN DE CHAIDE, FRAY PEDRO, La conversión de la Magdalena [España] [Félix García, Madrid, Espasa-Calpe, 1930] Religión;MALÓN DE CHAIDE, FRAY PEDRO;La conversión de la Magdalena;1588;Religión;España;"no han llegado a sentir aquella gran dulzura y suavidad, que a sus regaladas esposas les comunica el celestial Esposo, de quien decía la esposa en el primero de los Cantares:«Metióme el Rey en el aposento de sus regalos y conservas, donde tiene lo más precioso de sus olores y vinos; allí me regocijé y alegré en mi Amado, que me dió más suave licor que los más estimados vinos de Candía, ni de otras partes»;así que quien no ha llegado a tener estos gustos, no puede hablar de éllos, sino con el poco más o menos con que suelen hablar los que tratan lo que no entienden, y lo";si;si;no;perfectivo;animado;;regocijar y alegrar
1588 MALÓN DE CHAIDE, FRAY PEDRO, La conversión de la Magdalena [España] [Félix García, Madrid, Espasa-Calpe, 1930] Religión;MALÓN DE CHAIDE, FRAY PEDRO;La conversión de la Magdalena;1588;Religión;España;, dijéronle con mucho regocijo: «Señor, venimos los más alegres del mundo de ver que aun hasta los demonios se nos rinden en vuestro nombre— «Respondióles Cristo»: No hagáis mucho caudal * de eso ni pongáis en cosa de tan poco cimiento vuestra alegría. ¿Sabéis de que os habéis de regocijar? De que vuestros nombres están escritos en el cielo».;si;si;de;imperfectivo;animado;;
1588 MALÓN DE CHAIDE, FRAY PEDRO, La conversión de la Magdalena [España] [Félix García, Madrid, Espasa-Calpe, 1930] Religión;MALÓN DE CHAIDE, FRAY PEDRO;La conversión de la Magdalena;1588;Religión;España;"una huerta, donde se hallaron todos los príncipes y señores de los persas y medos, y de todos los reinos y señoríos del Rey, que eran ciento veinte y siete, y la reina Vasti, que era hermosísima, había convidado a las damas persianas y medas, que eran en grandísimo número; sucedió que, estando regocijado y alegre el rey al cabo del banquete, que no había bebido poco en la fiesta, parecióle que era bien que el último plato que se había de servir a los convidados fuese la vista * de la reina Vasti, para que todos ellos conociesen su mucha hermosura. Para esto envióle un recado con ciertos eunucos, que";no;;;;;;
1588 MALÓN DE CHAIDE, FRAY PEDRO, La conversión de la Magdalena [España] [Félix García, Madrid, Espasa-Calpe, 1930] Religión;MALÓN DE CHAIDE, FRAY PEDRO;La conversión de la Magdalena;1588;Religión;España;"Y si nada de esto fuere, yo lo dejo a los mayores ingenios que ellos lo descubran; y confieso que no sé más de lo que aquí digo, y me alegro y me regocijo en tener tan gran Dios, que sus misterios no quepan en mi entendimiento. Y esa es gloria de nuestra ley, y de lo que de ella no entiendo, lo creo y lo adoro y lo reverencio, y cautivo * mi entendimiento en la obediencia de la fe. Y si acaso es algo de lo que";si;si;en;imperfectivo;animado;;
1588 MALÓN DE CHAIDE, FRAY PEDRO, La conversión de la Magdalena [España] [Félix García, Madrid, Espasa-Calpe, 1930] Religión;MALÓN DE CHAIDE, FRAY PEDRO;La conversión de la Magdalena;1588;Religión;España;quién podrá contar, o cómo se sabrá encarecer, o quién se acabará de espantar * de aquel famoso banquete que haces a los ángeles del cielo por la conversión de un pecador, a donde aquellas beatísimas mentes angélicas, aquellos soberanos príncipes de tu casa y Corte, comen con un gozo inefable, y se regocijan y hacen sarao, como tú, Señor lo dices por tu sacratísima boca? Luego, misericordioso Dios, más te agradan a ti las penas de penitencia que las del fuego del abismo. Dime, Dios mío: ¿y tú no eres tan justo como misericordioso? ¿O por ventura usas así * de;si;si;no;imperfectivo;animado;;
1588 MALÓN DE CHAIDE, FRAY PEDRO, La conversión de la Magdalena [España] [Félix García, Madrid, Espasa-Calpe, 1930] Religión;MALÓN DE CHAIDE, FRAY PEDRO;La conversión de la Magdalena;1588;Religión;España;"allí está el fin del movimiento adonde fué y estuvo su principio; porque lo apetible, que es lo mismo que la cosa deseada, primeramente mueve el apetito, el cual no atiende otra cosa sino a ella, y cuando la ha alcanzado, allí repara y se afirma y reposa y se alegra y se regocija y goza, como lo dice Santo Tomás en diversos lugares.";si;si;no;imperfectivo;animado;;alegrar y regocijar
1588 MALÓN DE CHAIDE, FRAY PEDRO, La conversión de la Magdalena [España] [Félix García, Madrid, Espasa-Calpe, 1930] Religión;MALÓN DE CHAIDE, FRAY PEDRO;La conversión de la Magdalena;1588;Religión;España;"luz y mi salud, dice David; * y que esta vida sea rica para que no ande mendigando el alma, pues gloria y riquezas hay en su casa. Si ha menester contento y alegría esta vida, Exultabunt sancti in gloria, laetabuntur in cubilibus suis. * ""Alegrarse han los santos en la gloria y regocijarse han, y harán saraos en sus moradas."" Pues si se busca paz y unión, ""en paz en él mismo holgaré y descansaré"", dice David.";si;si;no;imperfectivo;animado;;
1588 MALÓN DE CHAIDE, FRAY PEDRO, La conversión de la Magdalena [España] [Félix García, Madrid, Espasa-Calpe, 1930] Religión;MALÓN DE CHAIDE, FRAY PEDRO;La conversión de la Magdalena;1588;Religión;España;"Creedme, que si María lo conociera, nunca lo buscara en el monumento; y si guardara sus palabras en el corazón, no se doliera del muerto, más alegrárase * del vivo; si llorara por lo hurtado, más regocijárase del resucitado.";si;si;de;imperfectivo;animado;;
1593 GRACIÁN DANTISCO, LUCAS, Galateo español [España] [Margherite Morreale, Madrid, CSIC, 1968] Literatura;GRACIÁN DANTISCO, LUCAS;Galateo español;1593;Literatura;España;sus cabeças y llamándose señores, y otros títulos extraordinarios besándose las manos como si las tuvieran sagradas, o fueran sacerdotes. Y alguno viendo esta costumbre tan nueva y tan impertinente, la llamó cerimonia, por frasis nuevo o manera de dezir, assi como llamamos tambien  triumphar, por vía de burla, el bever y comer y regosijarse.;si;si;no;imperfectivo;animado;;
"1596 LÓPEZ PINCIANO, ALONSO, Philosofía antigua poética [España] [Alfredo Carballo Picazo, Madrid, CSIC. Instituto ""Miguel de Cervantes"", 1953] Lingüística y lenguaje";LÓPEZ PINCIANO, ALONSO;Philosofía antigua poética;1596;Lingüística y lenguaje;España;"Y Vgo començó assí: La Tragedia es vna acción representatiua, lamentable, de personas ilustres, como la Hécuba de Eurípides; la Epica o Heroyca es vn montón de Tragedias, como la Iliada de Homero, y Eneyda  de Virgilio; la Comedia es vna acción representativa, alegre y regocijada, entre personas comunes; y la Dithirámbica es vn poema breue, a do juntamente se canta, tañe y dança, como se dize de Dauid delante de el arca de el Testamento.";no;;;;;;
"1596 LÓPEZ PINCIANO, ALONSO, Philosofía antigua poética [España] [Alfredo Carballo Picazo, Madrid, CSIC. Instituto ""Miguel de Cervantes"", 1953] Lingüística y lenguaje";LÓPEZ PINCIANO, ALONSO;Philosofía antigua poética;1596;Lingüística y lenguaje;España;"Vgo y el Pinciano dieron el plaudite, dando vnas grandes y regozijadas palmadas; ya en esta sazón declinaua el sol. Fadrique pidió su capa y el Pinciano se despidió de los compañeros con mucha alegría. Fecha, en las Calendas de Iulio. Vale.";no;;;;;;
"1596 LÓPEZ PINCIANO, ALONSO, Philosofía antigua poética [España] [Alfredo Carballo Picazo, Madrid, CSIC. Instituto ""Miguel de Cervantes"", 1953] Lingüística y lenguaje";LÓPEZ PINCIANO, ALONSO;Philosofía antigua poética;1596;Lingüística y lenguaje;España;Fadrique luego: No dize esso Vgo, sino que ay especie de música que entristece al alegre y al triste alegra. Y, para exemplo de lo que el sonido haze, aduertid en la trompeta del Iueues Santo y de los disciplinantes. ¿Qué hombre aurá tan regozijado a quien no priue de alegría aquel sonido tristíssimo? ¿Y también a quién no regozija vna trompeta de vn juego de cañas? ¿Y a quién no alborota y enciende en ira la trompeta en la guerra quando dize: Cierra, cierra? ¿Y a quién no mueue a sangre y muertes el atambor quando;transitivo;;;;;;
"1596 LÓPEZ PINCIANO, ALONSO, Philosofía antigua poética [España] [Alfredo Carballo Picazo, Madrid, CSIC. Instituto ""Miguel de Cervantes"", 1953] Lingüística y lenguaje";LÓPEZ PINCIANO, ALONSO;Philosofía antigua poética;1596;Lingüística y lenguaje;España;especie de música que entristece al alegre y al triste alegra. Y, para exemplo de lo que el sonido haze, aduertid en la trompeta del Iueues Santo y de los disciplinantes. ¿Qué hombre aurá tan regozijado a quien no priue de alegría aquel sonido tristíssimo? ¿Y también a quién no regozija vna trompeta de vn juego de cañas? ¿Y a quién no alborota y enciende en ira la trompeta en la guerra quando dize: Cierra, cierra? ¿Y a quién no mueue a sangre y muertes el atambor quando suena: Arma  arma? No digo que éstos sean instrumentos músicos verdaderos, mas que por;no;;;;;;
1597-1645 QUEVEDO Y VILLEGAS, FRANCISCO DE, Poesías [España] [José Manuel Blecua, Madrid, Castalia, 1969-1971] Verso;QUEVEDO Y VILLEGAS, FRANCISCO DE;Poesías;1597-1645;Verso;España;"toldo. Que pudiéndote llamar tus padres, por nombre propio, doña Espátula, quisieron que tuvieses nombre godo. * Destilando claras aguas, porque en ti las hagan otros, * naciste para alquitara de ungüente blanco y de mocos. * Bolo arménico vendiste; * que aunque sea único el bolo, por serlo te regocijas, y por serlo le haces cocos. * No temes tú las heridas *  del niño Amor poderoso, que, fiada en tus ungüentes, * menosprecias los incordios. De bote en bote, señora, te he de llenar, si me enojo, * de necia y de confiada * de entendimiento y de";si;si;por;imperfectivo;animado;;
1598 VEGA CARPIO, LOPE DE, La Arcadia [España] [Edwin S. Morby, Madrid, Castalia, 1975] Relatos;VEGA CARPIO, LOPE DE;La Arcadia;1598;Relatos;España;"que le guiase a la casa de Crisalda, que él le daba su fe de hacerle bien vengado del adulterio que a la de su alma le habían hecho. Admiróse Galicio del extraño suceso, y con el deseo de estorbar lo que de otra manera fuera tan imposible, guió el enojado monstro a la regocijada casa, que de voces, juegos y música se ardía. Bien quisiera Alasto entonces, furioso con el dolor del agravio, abrazarse con ella y derribarla; pero presumiendo que por ventura Crisalda había sido violentamente obligada a rompelle la palabra, enfrenó su fiereza, y contra su bárbara condición reprimió la cólera. Entrado,";no;;;;;;
