BIBLIOGRAFÍA;AUTOR;TÍTULO;FECHA;CRITERIO;BLOQUE;MEDIO;SOPORTE;TEMA;PAÍS;ZONA;TIPOLOGÍA;NOTAS;CONCORDANCIA;Válido;Reflexivo;Complemento_de;Aspecto_verbal;Sujeto;Perífrasis;Observaciones
Castro, Mercedes: Mantis. Madrid: Alfaguara, 2010.;Castro, Mercedes;Mantis;2010;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;luz y se ahogan los deseos y me falla la voz que clama día y noche en mi cerebro. Me abandono, me resigno a mi final, al ansiado adiós, y acierto a escuchar ya sin rabia ni encono cómo en la distancia, allá arriba, tras la ventana del torreón, mamá se carcajea triunfal y vocifera orgullosa, se deja llevar por el júbilo de su victoria y no disimula su odio ni su rencor ni finge una pizca de lástima porque nunca me quiso, porque sus pasos siempre los guió el desamor. De pronto un rumor levísimo, sólo perceptible para mí, me hace aguzar el oído a mi;si;si;no;imperfectivo;animado;;
Hernández Díaz, María Teresa: «Mis otras ciudades». Crónica de un adosado. Madrid: Luarna, 2010.;Hernández Díaz, María Teresa;Crónica de un adosado;2010;Primera edición;Ficción;Escrito;Libro;Relato;España;;Ficción;;Brian estaba inspirado y no paraba de contar chismes uno detrás de otro. Me sentí molesta con que mi ex se carcajeara con su querida rechoncha de episodios que habían pertenecido a nuestra intimidad conyugal. Recordó con los ojos llorosos por las risotadas una noche cuando casi me tienen que asistir de un colapso debido a una visita inoportuna. Fue un día en que me avisó que llegaría tarde, iba a celebrar no sé qué con sus amigotes angloparlantes.;si;si;si;imperfectivo;animado;;
Hernández Díaz, María Teresa: «Mis compañeros y sus guerras». Crónica de un adosado. Madrid: Luarna, 2010.;Hernández Díaz, María Teresa;Crónica de un adosado;2010;Primera edición;Ficción;Escrito;Libro;Relato;España;;Ficción;;Alguien iba a perder en breve la única pierna que le quedaba sana. Pero, ¿qué le contaría mi adorada vecina adosada izquierda al rechoncho caballero para que ahora se carcajeara abiertamente de mí? ¿Y qué si me gustaba Jude Law? Con o sin calzoncillos puestos. Si ya me imagino los que usa éste, de cuello alto, a juego con el uniforme de salesiano. Se quedó un poco meditativo para luego soltarme a bocajarro:;si;si;si;imperfectivo;animado;;
Balanzá, Rafael: Los asesinos lentos. Madrid: Siruela, 2010.;Balanzá, Rafael;Los asesinos lentos;2010;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;si llegó a existir, desapareció casi de inmediato: realmente yo vi un arma en su mano. Un arma, y no un Nuevo Testamento. Un regalo de mi Dios, no del suyo. (Pero si yo intentase explicar semejante cosa ante un jurado, ¿va usted a decirme que no se carcajearían? ¿No sería lo más probable que terminasen pensando que también todo lo demás -la historia completa que usted ha leído- es sólo una ridícula patraña exculpatoria? Porque a mí no me cabe duda de que sería así. Me parece que, mucho antes que la muy enrevesada y rugosa verdad, estarían dispuestos a;si;si;no;imperfectivo;animado;;
Bravo Aguilar, Paloma: La novia de papá. Barcelona: Random House Mondadori, 2010.;Bravo Aguilar, Paloma;La novia de papá;2010;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;-Si me gusta... -se carcajea ya la protagonista-.¡Pero no será Álvaro y no me engancharé!;si;si;no;imperfectivo;animado;;
Naveiras, José: «¡Salud!». El incendio y otros relatos. Madrid: Luarna, 2010.;Naveiras, José;El incendio y otros relatos;2010;Primera edición;Ficción;Escrito;Libro;Relato;España;;Ficción;;la emoción de quien sabe que lo que está haciendo, está bien. Su estado de humor ha cambiado al ver que puede con el examen. Todo va perfecto y ya no se acuerda del resfriado. Continúa escribiendo sus respuestas cuando le asalta un nuevo estornudo. Todas las personas de la sala comienzan a carcajearse ante el agudo grito final de Daniel. El profesor llama la atención y todos vuelven a su quehacer.;si;si;no;infinitivo;animado;no reflexiva;
Lara Alberola, Eva: «Por qué y para qué: Función de las hechiceras y brujas en la literatura de los Siglos de Oro». Espéculo. Madrid: ucm.es/info/especulo, 2010-03.;Lara Alberola, Eva;Espéculo;2010;Primera edición;No ficción;Escrito;Prensa;Ciencias sociales, creencias y pensamiento;España;;;Periodicidad: cuatrimestral;", atribuido a Lope de Vega; el Entremés famoso de la Celestina, de Juan Navarro Espinosa; el Entremés de la hechicera, de Luis Quiñones de Benavente; y el Entremés de los gigantones, de Francisco de Castro. Pero la crítica suele estar implícita en estos casos, por lo que esta función se halla íntimamente relacionada con la anterior. El escritor se carcajea de unos personajes a los que tiene en baja consideración y desprestigia unas prácticas que presenta como ridículas. Algo nos dice esto acerca de su visión de la hechicería, aunque poco más podemos indagar, pues no se filtra más información al respecto; exceptuando el Testamento, que merece un punto y aparte, dada la riqueza";si;si;si;imperfectivo;animado;;
Berger, Pablo: Blancanieves. Barcelona: Arcadia Motion Pictures, 2011.;Berger, Pablo;Blancanieves;2011;Fecha de escritura;Ficción;Escrito;Libro;Guion;España;;Ficción;;— TODOS los parroquianos se carcajean a mandíbula batiente. El becerro lo va a matar o casi...;si;si;no;imperfectivo;animado;;
Tristante, Jerónimo: El valle de las sombras. Barcelona: Plaza Janés, 2011.;Tristante, Jerónimo;El valle de las sombras;2011;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;Cuaresma se carcajeó pensando que era una broma, pero al momento, comprobó con asombro que no. No sólo la idea iba en serio, sino que era acogida por aquellos descerebrados con evidentes muestras de entusiasmo. ¿Cómo se iba a ganar así una guerra? Protestó enérgicamente y, una vez más, el teniente Tornell le;si;si;no;perfectivo;animado;;
Tristante, Jerónimo: El valle de las sombras. Barcelona: Plaza Janés, 2011.;Tristante, Jerónimo;El valle de las sombras;2011;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;lo sacan de allí entre cuatro presos como si fuera un torero al que ha cogido el toro. Según parece sangraba como un cerdo. Entonces, Dimas, no sabe si por la tensión de tantas y tantas noches esperando que fuera la última, por el miedo pasado, o por el nerviosismo, comienza a carcajearse sin poder parar. Dice que no se le iba de la cabeza la cara del tipo cuando se dio el tiro él solo, con los ojos muy abiertos, como de sorpresa, las cejas levantadas y cara de susto. Los tres legionarios que seguían en la celda comienzan a alarmarse porque aquello se;si;si;no;infinitivo;animado;no reflexiva;
Tizire: «Canción de Navidad». El lado frío de mi almohada. www.elladofriodemialmohada.com: elladofriodemialmohada.com, 2012-12-24.;Tizire;El lado frío de mi almohada;2012;Fecha de escritura;No ficción;Escrito; ;Ciencias sociales, creencias y pensamiento;España;;Blog;;En estas fechas en las que nos rodean luces parpadeantes por doquier, burbujas de sidra y cava nos hacen chispear y señores gordos vestidos de rojo carcajean sospechosamente a nuestro alrededor, parece que el gen de la amabilidad, el buen humor y la sonrisa perpetua se activa de forma natural y todos nos sentimos un poco más buenos y más felices. Quizás estoy generalizando... Porque también es cierto que en estas fechas en las que la publicidad nos bombardea intensivamente con las excelencias;si;no;no;imperfectivo;animado;;
Ruiz Mantilla, Jesús: Ahogada en llamas. Barcelona: Planeta, 2012.;Ruiz Mantilla, Jesús;Ahogada en llamas;2012;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;hacía irritado, enfurecido por mostrarse incapaz de llevar la idea de la fotografía en carne y hueso de su imaginación al papel. Menos en un caso. Entre todos sus esbozos secretos, entre aquellos retratos que no se atrevía a enseñar a nadie, guardaba lo menos veinte de Marina. Marina tumbada, Marina carcajeándose, Marina melancólica, junto al balcón, con la mirada perdida en la calle o en la bahía. Marina bailando, Marina veladamente desnuda. La proporción no dejaba lugar a dudas. Ella no era su hermana, ni la extraña que entró por la puerta como una inquilina para enturbiar en lo bueno y en;si;si;no;gerundio;animado;;
Ruiz Mantilla, Jesús: Ahogada en llamas. Barcelona: Planeta, 2012.;Ruiz Mantilla, Jesús;Ahogada en llamas;2012;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;. Pero a mí me cansa el asunto. No se pueden hacer idea de lo que fatiga comprobar lo cainitas que somos en este país. Ante el disparate no cabía más que dar ejemplo, y en eso creo que el pobre Marcelino y yo tratamos de comportarnos como caballeros. No saben hasta qué punto nos carcajeábamos juntos de la que se montó. ¡Señor! ¡Qué cosas hay que aguantar!;si;si;si;imperfectivo;animado;;
Rodríguez Soria, Antonio José: Fresy Cool. Barcelona: Random House Mondadori, 2012.;Rodríguez Soria, Antonio José;Fresy Cool;2012;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;de la misma, mientras ese otro público de conciertos mantiene la dudosa costumbre de hablar y hablar a gritos y situar la música en directo como ruido de fondo, hace que Pleo encuentre su sitio en el «centro de la modernidad», consciente de que si algún día llega a tener nietos no dudarán éstos en carcajearse con fauces de sanguinario cancerbero a propósito de la analepsis setentera y ochentera que caracterizó la cultura de subsuelo en los albores del siglo XXI, algo así como el conservadurismo con que suele asociarse la vuelta a los clásicos.;si;si;si;infinitivo;animado;;
Rodríguez Soria, Antonio José: Fresy Cool. Barcelona: Random House Mondadori, 2012.;Rodríguez Soria, Antonio José;Fresy Cool;2012;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;por los alumnos en chanclos y camisas floreadas que fuman marihuana en las terrazas nevadas de los bares de Moncloa y hablan de las mujeres, en un español macarrónico, en términos de «Rubia de bote, chocho morenote» (sic), gesticulando como negratas acalambrados tras tocar con su bling-bling circuitos de alta tensión, carcajeándose, mientras nosotros tratamos de construirnos una reputación. Efraín piensa en la invasión de alumnos yankees que celebran fiestas yankees en España, brindando con Rioja y tragando raciones King Size de tortilla y salmorejo y cerveza servida, literalmente, en metros: horripilantes estudiantes American Pie y alumnas Miss Camiseta Mojada que batieron pompones para algún;si;si;no;gerundio;animado;;
Khraiche Ruiz-Zorrila, Hatem: Retornados. s. l.: s. n., 2013.;Khraiche Ruiz-Zorrila, Hatem;Retornados;2013;Fecha de estreno;Ficción;Escrito;Libro;Guion;España;;Ficción;;LUIS se carcajea. Los otros están muy serios. Incluida ÁMBAR, que se ha quedado de una pieza y mira a JAVIER sin pestañear.;si;si;no;imperfectivo;animado;;
Moreno, Lara: Por si se va la luz. Barcelona: Lumen, 2013.;Moreno, Lara;Por si se va la luz;2013;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;"llenos de aire puro ni que esta forma de existencia responde a los mismos patrones de hipocresía; mucho menos que el orden aquí establecido peligra con idéntica fragilidad. Yo no le diré lo que siento, pero todo me parece un juego. Como si alguien monstruoso fuera a levantar el telón de un momento a otro y a carcajearse de nuestros esqueletos: frota, frota, cava, cava, lee, lee, folla, folla, y pum, todo al carajo, Zyklon B.";si;si;si;infinitivo;animado;;
Moreno, Lara: Por si se va la luz. Barcelona: Lumen, 2013.;Moreno, Lara;Por si se va la luz;2013;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;acerca de la lluvia y puedo ver que uno de sus dientes es de oro. Son gitanos. El hombre es igual de grueso que ella, deben de ser marido y mujer aunque podrían ser hermanos. Tiene un perfil redondeado y prominente, su oreja está enterrada en un pelo también negrísimo veteado con canas. Al carcajearse, la barriga hinchada, apoyada en el volante, tiembla como un flan. No sé cómo no se me había ocurrido antes, los porteadores son gitanos, no hay más remedio de que así sea, nos llevan tanta ventaja ahora. ¿Ahora? Mi ingenuidad me da asco. Miro la escena tras un;si;si;no;infinitivo;animado;;
Moreno, Lara: Por si se va la luz. Barcelona: Lumen, 2013.;Moreno, Lara;Por si se va la luz;2013;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;préstamo que han establecido. En realidad Nadia preferiría que no lo supiera. ¿Y si quiere unirse a ellos? Enrique desvela: los libros de mujeres poetas que hay en mi casa son de Ivana. La sospecha late como un renacuajo dentro de Nadia: ¿antes vivíais juntos? Ahora es Ivana quien se carcajea: claro que no, le regalé los libros porque no los quiero, hace mucho que no leo, la poesía fue una debilidad de juventud, además nunca entendí nada. Se dirige a Enrique con reprobación, sus codos chocan: pensé que para ti también lo era, qué sorpresa, has vuelto a las andadas;si;si;no;imperfectivo;animado;;
Gorgot, Emilio de: «Las películas más ruinosas de todos los tiempos». Jot Down Cultural Magazine. Sevilla: jotdown.es, 2013-05.;Gorgot, Emilio de;Jot Down Cultural Magazine;2013;Primera edición;No ficción;Escrito;Prensa;Artes, cultura y espectáculos;España;;Reportaje;Periodicidad: mensual;James Brown metiéndose en un baño caliente (por favor, si entiende usted inglés, ¡vea el vídeo del enlace! Aunque cualquier recopilación de vídeos de su apabullante etapa en el legendario programa Saturday Night Live o de sus monólogos de la época es absolutamente recomendable). Sus sketches televisivos eran excelentes y en directo podía hacer carcajear a toda la audiencia de un gran teatro sin perder el estilo ni por un momento. Desgraciadamente, descubrió el dinero de Hollywood y comenzó a rodar películas progresivamente más insustanciales, aunque bastante exitosas. Ese Eddie Murphy descafeinado es el que casi todo el mundo conoce: comedias domingueras de las que se alquilan en el videoclub como último;si;no;no;infinitivo;animado;causativa;
Sáez Carral, Miguel: Apaches. Lucha por lo que importa cueste lo que cueste. Barcelona: Planeta, 2014.;Sáez Carral, Miguel;Apaches. Lucha por lo que importa cueste lo que cueste;2014;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;a las chicas y se arrodilló junto a la piscina hinchable donde jugaba su hijo. Con un dedo le salpicaba con gotas de agua de la piscina y el crío reía y se le veían dos pequeños dientes blancos solitarios en sus encías y golpeaba el agua con la palma de las manos salpicando a su padre, que se carcajeaba.;si;si;no;imperfectivo;animado;;
Vermut, Carlos: Magical Girl. México: Los Cuadernos de Cinema23, 2016.;Vermut, Carlos;Magical Girl;2014;Fecha de estreno;Ficción;Escrito;Libro;Guion;España;;Ficción;;Bárbara deja de reírse, pero al poco tiempo se carcajea. Laura interviene, simpática, pero algo mosqueada.;si;si;no;imperfectivo;animado;;
O'Brayn, Pauline: Contigo llegó la lluvia. https://www.smashwords.com/: smashwords.com, 2014.;O'Brayn, Pauline;Contigo llegó la lluvia;2014;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;El viejo Preston se carcajeó mirando alrededor nuestro y mientras se recomponía, volvía a acariciar la circunferencia de su barriga. Me sentía ridícula haciendo una aseveración de ese tipo, sobre todo si él ya conocía la relación que tenía con Colin.;si;si;no;perfectivo;animado;;
O'Brayn, Pauline: Contigo llegó la lluvia. https://www.smashwords.com/: smashwords.com, 2014.;O'Brayn, Pauline;Contigo llegó la lluvia;2014;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;Colin se carcajeó mientras arrancaba al ponerse en verde el semáforo.;si;si;no;perfectivo;animado;;
"Amat, Kiko: «Amarna Miller: ""Me parece hipócrita que se omita el sexo en todas las obras supuestamente artísticas""». Jot Down Cultural Magazine. Sevilla: jotdown.es, 2014-12.";Amat, Kiko;Jot Down Cultural Magazine;2014;Primera edición;No ficción;Escrito;Prensa;Artes, cultura y espectáculos;España;;Entrevista;Periodicidad: mensual;[Carcajeándose] ¿Y qué me dices del pizzero con la polla dentro de una pizza? Eso me aburre...;si;si;no;gerundio;animado;;
"Amat, Kiko: «Irvine Welsh: ""Los jóvenes siguen pasándoselo en grande, pero siento que les han robado la cultura""». Jot Down Cultural Magazine. Sevilla: jotdown.es, 2014-08.";Amat, Kiko;Jot Down Cultural Magazine;2014;Primera edición;No ficción;Escrito;Prensa;Ciencias sociales, creencias y pensamiento;España;;Entrevista;Periodicidad: mensual;Primero fui punk, todo el mundo era punk, era algo que daba mucha energía. Y también fui skinhead. De hecho aún lo soy [se toca el cráneo y se carcajea]. Claro que lo de ahora no es una decisión. Pero a pesar de todo lo del punk siempre he amado la música disco y bailar, venía del rollo northern soul y para mí aquello fue algo muy grande. Me encantan Nile Rodgers, Chic, Donna Summer y los Bee Gees. Una de las mejores cosas de;si;si;no;imperfectivo;animado;;
Aparicio Belmonte, Juan: Ante todo criminal. Madrid: Siruela, 2015.;Aparicio Belmonte, Juan;Ante todo criminal;2015;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;Se mantienen secuencias con ceceo.;El detective se carcajeó con una risa que le recordó al hipo de un asmático. Y nuestro hombre se fue del bar perplejo y algo asustado, reprimiendo las ganas de pelea.;si;si;no;perfectivo;animado;;
Aparicio Belmonte, Juan: Ante todo criminal. Madrid: Siruela, 2015.;Aparicio Belmonte, Juan;Ante todo criminal;2015;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;Se mantienen secuencias con ceceo.;Debí de alejarme de él con gracia significativa, porque me vi rodeado de gente aplaudiendo. Se divertían, y se carcajeaban, al verme caminar. Derribé varias bebidas de un velador, pero el tropiezo no me hizo caer sino que recuperé algo de la elasticidad de mis extremidades, y llegué hasta donde departía un grupo de tipos al que intenté vender algo de género para salir de aquella fiesta con la misión cumplida.;si;si;no;imperfectivo;animado;;
Laforet, Silvia: Dónde puedo alquilar una primavera. Madrid: Ediciones Martínez Roca, 2015.;Laforet, Silvia;Dónde puedo alquilar una primavera;2015;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;—Ay, por Dios, qué cosas dice. —Y Angelines, sin pensarlo, se santigua. Arturo se carcajea, babeando un poco.;si;si;no;imperfectivo;animado;;
Laforet, Silvia: Dónde puedo alquilar una primavera. Madrid: Ediciones Martínez Roca, 2015.;Laforet, Silvia;Dónde puedo alquilar una primavera;2015;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;—Tonterías nada —salta Rodrigo—, que yo lo he visto y es precioso. Hasta los de Informe Semanal lo han utilizado alguna vez. Es sobre los niños de la guerra, y lo que le pasa a usted, Arturo, es que le pesa la fama. —Rodrigo se carcajea y se vuelve hacia Alicia—. Arturo es el protagonista, ¿sabes?;si;si;no;imperfectivo;animado;;
Montesinos, María: La estúpida idea de dejarte marchar. s. l.: s. n., 2015.;Montesinos, María;La estúpida idea de dejarte marchar;2015;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;—¡Imposible! ¡Eso tendrás que ponerlo por escrito y ante notario! -me carcajeé.;si;si;no;perfectivo;animado;;
Antelo, Tino: GoZazo. Madrid: Fundación SGAE, 2016.;Antelo, Tino;GoZazo;2016;Primera edición;Ficción;Escrito;Libro;Teatro;España;;Ficción;;aislado del mundo o formo parte de él, si formo parte de un mundo que me odia, me odio. Esto tiene lógica. El mundo está en mi contra. (Para sí) O sea que yo estoy en mi contra, sin sentido pero lleno de lógica. La vida es una mierda (Se carcajea) y dale. Todo va mal. (A partir de aquí lucha con su propio ataque de risa) No llego a tiempo. No tengo trabajo. No me siento bien conmigo mismo. No me siento bien con los demás. Mis padres no me respetan. No me extraña. Mis amigos no me respetan;si;si;no;imperfectivo;animado;;
Antelo, Tino: GoZazo. Madrid: Fundación SGAE, 2016.;Antelo, Tino;GoZazo;2016;Primera edición;Ficción;Escrito;Libro;Teatro;España;;Ficción;;Se carcajea mientras vuelve al personaje central.;si;si;no;imperfectivo;animado;;
Villacís, José: El hombre de la maleta vacía. Barcelona: megustaescribir, 2016.;Villacís, José;El hombre de la maleta vacía;2016;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;—Pues vive. Es muy viejo y muy seco. Va casi todos los días al cine Carretas, mis compañeros se carcajean y Borja suelta una broma de maricas que corta secamente el profesor Rodríguez, pero el brillo de sus ojos traiciona su seriedad. El profesor es dueño de una cafetería de esas de escritores cerca de la plaza del Ángel, a unos diez minutos de la pensión. Quedo la tarde siguiente con el profesor Rodríguez en;si;si;no;imperfectivo;animado;;
Muñoz, José Luis: Cazadores en la nieve. Barcelona: Ediciones Versátil, 2016.;Muñoz, José Luis;Cazadores en la nieve;2016;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;— Noventa... céntimos, no euros. —Y se carcajea sola.;si;si;no;imperfectivo;animado;;
Ginolanda, Reina: «Los renglones erectos de Dios». Dilemas Yonkys. España: www.megustaescribirlibros.com, 2016.;Ginolanda, Reina;Dilemas Yonkys;2016;Primera edición;Ficción;Escrito;Libro;Relato;España;;Ficción;;"Aleluya"" golpea las cristaleras. Alguna vecina se ha olvidado de enchufarse el audífono. Corto el coro. Mi vejiga marca la duración de la misa. Hago señas al monaguillo para que pida la colecta. Bendigo el vino. Bendigo la sangre de nuestro señor. Jodidamente parecido al Moscatel por cierto. Me carcajeo interiormente. Que guasón soy a veces de verdad. Pena que no pueda hacer la gracieta por el micro. Conozco algunos paisanos de la otra parroquia. El bar digo. Seguro que también les haría partirse de risa. En fin. Rezamos todos juntos el Padre Nuestro. Les invito a darse la paz";si;si;no;imperfectivo;animado;;
Benítez Reyes, Felipe: El azar y viceversa. Barcelona: Planeta, 2016.;Benítez Reyes, Felipe;El azar y viceversa;2016;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;«Eh, ustedes, maleantes». Era un jardinero, con la manguera de riego en la mano, a las claras primerísimas del día. «¿Os remojo?», y se carcajeaba, no sé por qué, pues la cosa tenía poco chiste.;si;si;no;imperfectivo;animado;;
Martínez Fajardo, Daniel: Postludio. www.literanda.com: Literanda, 2016.;Martínez Fajardo, Daniel;Postludio;2016;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;intensidad, obtuve su atención y salieron conmigo y con mi particular lapa. Cuando los había convencido para que acompañasen a Gema a su casa y me librasen de semejante compromiso, esta me vomitó encima. Estuve a punto de agarrarla del cuello y estrangularla. Carlos y Nico, ya incontrolables, se carcajeaban en el suelo. Recuperar a ambos me costó varios gritos y zarandeos. Al final, determiné que Carlos, ligeramente más ebrio que Nico, acompañase a Gema a su casa, mientras Nico me acercó a la mía en su moto. Me duché y cambié en cinco minutos. Al salir de mi vivienda;si;si;no;imperfectivo;animado;;
Martínez Fajardo, Daniel: Postludio. www.literanda.com: Literanda, 2016.;Martínez Fajardo, Daniel;Postludio;2016;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;Me costó no carcajearme ante la surrealista pregunta de Carlos pero la gravedad de la situación no invitaba a tomarse el asunto a guasa.;si;si;ante;infinitivo;animado;;
Martínez Fajardo, Daniel: Postludio. www.literanda.com: Literanda, 2016.;Martínez Fajardo, Daniel;Postludio;2016;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;—Cerciorémonos de que no hay moros en la costa —recomendé, asomando la cabeza hacia el exterior al tiempo que ella se carcajeaba ante mi cómica estampa. Le guiñé el ojo, como señal afirmativa de que la amenaza había dejado de existir.;si;si;ante;imperfectivo;animado;;
Martínez Fajardo, Daniel: Postludio. www.literanda.com: Literanda, 2016.;Martínez Fajardo, Daniel;Postludio;2016;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;Mi acompañante siguió carcajeándose. Al parecer, yo tenía uno de esos escasos días brillantes e ingeniosos ante el sexo femenino y no mi habitual bloqueo mental.;si;si;no;gerundio;animado;no reflexiva;
Amat, Kiko: «Humillación en el restaurante con ínfulas». El comidista. El País. Madrid: elcomidista.elpais.com, 2016-05-04.;Amat, Kiko;El comidista. El País;2016;Primera edición;No ficción;Escrito;Prensa;Actualidad, ocio y vida cotidiana;España;;Crítica;;Aquí, debo admitírselo, perdimos la compostura y empezamos a carcajearnos de aquel vil vodevil. Pues la carta de vinos estaba en Ipad, un cachivache capaz de almacenar gigas y gigas de información vinícola, y que en La Timoteca consideran indispensable para exponer su fastuosa bodega de 8 vinos. Sí: ocho. Ja, ja es lo único que procede expresar aquí. Admitan que;si;si;si;infinitivo;animado;no reflexiva;
Rivers, Paula: Que te parta un rayo, Candela. Barcelona: Planeta, 2017.;Rivers, Paula;Que te parta un rayo, Candela;2017;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;—Sí, es cierto, como tu «¡Ay, Dios mío! ¡Ay, Dios mío!»... Pues sí que eres devota... —se carcajeó sin poder evitar parar de reírse.;si;si;no;perfectivo;animado;;
Loureiro, Manel: Veinte. Barcelona: Editorial Planeta, 2017.;Loureiro, Manel;Veinte;2017;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;, vas a tener que esforzarte más, chico de la mierda —gruñó el que parecía el jefe. Se subió al borde del muro y se bajó la bragueta. A continuación lanzó un largo chorro de orina que trazó un gracioso arco antes de tocar el suelo. El resto del grupo se carcajeó mientras Abel rezaba por dentro para que una ráfaga de aire desviase aquel chorro hasta la valla electrificada y aquel idiota recibiese varios miles de voltios a través del pito—. Cuando acabes aquí, baja hasta el pie de la muralla y recoge la tierra que he empapado —dijo el jefe mientras se subía la cremallera—.;si;si;no;perfectivo;animado;;
Morales, Cristina: Lectura fácil. Barcelona: Anagrama, 2018.;Morales, Cristina;Lectura fácil;2018;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;instaladas en las sienes. Cierran en vertical, como las del metro, y me clausuran la cara. Pueden representarse con las manos, haciendo el cucú de los bebés. ¿Dónde está mami, dónde está mami? ¡Aquíiiiii!, y en el aquí las manos se separan y el niño se carcajea. Las compuertas de mis sienes no están hechas de manos sino de un material liso, resistente y transparente rematado en una goma que asegura cierre y apertura amortiguados, y su hermetismo. Así son, en efecto, las compuertas del metro. Aunque se pueda ver perfectamente lo que pasa al otro lado,;si;si;no;imperfectivo;animado;;
Val, Juan del: Candela. Barcelona: Planeta, 2019.;Val, Juan del;Candela;2019;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;—Yo, lo mismo que tú... A mí también me han follado como yo quería —se carcajea.;si;si;no;imperfectivo;animado;;
Tristante, Jerónimo: Secretos. Sevilla: Algaida, 2019.;Tristante, Jerónimo;Secretos;2019;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;— No, no —dice la otra carcajeándose—. No vengo por eso. Ni siquiera soy creyente.;si;si;no;gerundio;animado;;
Tristante, Jerónimo: Secretos. Sevilla: Algaida, 2019.;Tristante, Jerónimo;Secretos;2019;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;Él se carcajea ruidosamente sin poder disimular que se siente halagado:;si;si;no;imperfectivo;animado;;
Tristante, Jerónimo: Secretos. Sevilla: Algaida, 2019.;Tristante, Jerónimo;Secretos;2019;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;Belén se carcajea y, de pronto, cambia de tema para decir:;si;si;no;imperfectivo;animado;;
Tristante, Jerónimo: Secretos. Sevilla: Algaida, 2019.;Tristante, Jerónimo;Secretos;2019;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;— ¿Mío? —responde Cristina sabiendo que descubrir alguna información sensible sobre sí misma a aquella arpía sería el principio del fin. De su fin. Helen se carcajea, parece divertirse.;si;si;no;imperfectivo;animado;;
Tristante, Jerónimo: Secretos. Sevilla: Algaida, 2019.;Tristante, Jerónimo;Secretos;2019;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;El recién llegado se carcajea.;si;si;no;imperfectivo;animado;;
Tristante, Jerónimo: Secretos. Sevilla: Algaida, 2019.;Tristante, Jerónimo;Secretos;2019;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;Helen se carcajea. Él se asusta al ver la maldad asomando al rostro de quien parecía su amiga, una mujer agradable y sincera, una agradable compañía en su reducto de paz de Los Cipreses.;si;si;no;imperfectivo;animado;;
Tristante, Jerónimo: Secretos. Sevilla: Algaida, 2019.;Tristante, Jerónimo;Secretos;2019;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;El Lolo se carcajea:;si;si;no;imperfectivo;animado;;
Benavent, Elísabet: Toda la verdad de mis mentiras. España: Penguin Random House Grupo Editorial, 2019.;Benavent, Elísabet;Toda la verdad de mis mentiras;2019;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;de risa porque Gus está rememorando uno de sus recitales en Madrid, al que fuimos todos a verlo y se puso tan nervioso que se le olvidó subirse la bragueta después de ir al baño. Hasta Aroa ha dejado un poco atrás su mutismo para reírse con nosotros. Loren no para de carcajearse y Blanca se tapa la cara con una servilleta, porque se le saltan hasta las lágrimas.;si;si;no;infinitivo;animado;no reflexiva;
